Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
19/11/2010;14:27:00;1.324;0.074;237.550;5.600;0.000;0.000;17.000
19/11/2010;14:28:00;1.250;0.074;237.180;5.200;0.000;0.000;17.000
19/11/2010;14:29:00;1.250;0.074;237.110;5.200;0.000;0.000;17.000
19/11/2010;14:30:00;1.240;0.076;236.160;5.200;0.000;0.000;18.000
19/11/2010;14:31:00;1.248;0.074;236.880;5.200;0.000;0.000;17.000
19/11/2010;14:32:00;1.264;0.072;238.530;5.200;0.000;0.000;17.000
19/11/2010;14:33:00;1.272;0.070;238.640;5.200;0.000;0.000;18.000
19/11/2010;14:34:00;1.282;0.068;239.560;5.200;0.000;0.000;17.000
19/11/2010;14:35:00;1.284;0.068;239.900;5.200;0.000;0.000;18.000
19/11/2010;14:36:00;1.282;0.068;239.780;5.200;0.000;0.000;18.000
19/11/2010;14:37:00;1.276;0.070;239.460;5.200;0.000;0.000;17.000
19/11/2010;14:38:00;1.272;0.070;239.430;5.200;0.000;0.000;18.000
19/11/2010;14:39:00;1.276;0.070;239.740;5.200;0.000;0.000;17.000
19/11/2010;14:40:00;1.274;0.070;239.510;5.200;0.000;0.000;18.000
19/11/2010;14:41:00;1.270;0.072;239.200;5.200;0.000;0.000;17.000
19/11/2010;14:42:00;1.262;0.072;238.510;5.200;0.000;0.000;18.000
19/11/2010;14:43:00;1.264;0.072;238.680;5.200;0.000;0.000;17.000
19/11/2010;14:44:00;1.268;0.072;239.030;5.200;0.000;0.000;18.000
19/11/2010;14:45:00;1.352;0.000;239.860;5.600;0.000;0.000;18.000
19/11/2010;14:46:00;1.386;0.062;240.080;5.800;0.000;0.000;17.000
19/11/2010;14:47:00;1.386;0.064;240.370;5.600;0.000;0.000;18.000
19/11/2010;14:48:00;1.386;0.062;239.910;5.800;0.000;0.000;18.000
19/11/2010;14:49:00;1.456;0.146;239.020;6.000;0.000;0.000;17.000
19/11/2010;14:50:00;1.446;0.160;238.630;6.000;0.000;0.000;18.000
19/11/2010;14:51:00;1.434;0.154;237.590;6.000;0.000;0.000;17.000
19/11/2010;14:52:00;1.434;0.156;237.920;6.000;0.000;0.000;17.000
19/11/2010;14:53:00;1.428;0.154;237.660;6.000;0.000;0.000;18.000
19/11/2010;14:54:00;1.440;0.160;239.010;6.000;0.000;0.000;17.000
19/11/2010;14:55:00;1.426;0.158;238.350;6.000;0.000;0.000;18.000
19/11/2010;14:56:00;1.420;0.156;237.970;6.000;0.000;0.000;17.000
19/11/2010;14:57:00;1.362;0.068;238.380;5.600;0.000;0.000;17.000
19/11/2010;14:58:00;1.348;0.054;237.850;5.600;0.000;0.000;18.000
19/11/2010;14:59:00;1.284;0.000;238.470;5.400;0.000;0.000;17.000
19/11/2010;15:00:00;1.268;0.070;239.080;5.200;0.000;0.000;18.000
19/11/2010;15:01:00;1.274;0.070;239.490;5.200;0.000;0.000;17.000
19/11/2010;15:02:00;1.252;0.074;237.320;5.200;0.000;0.000;18.000
19/11/2010;15:03:00;1.240;0.076;235.620;5.200;0.000;0.000;17.000
19/11/2010;15:04:00;1.234;0.076;235.040;5.200;0.000;0.000;17.000
19/11/2010;15:05:00;1.250;0.076;236.530;5.200;0.000;0.000;17.000
19/11/2010;15:06:00;1.250;0.076;236.670;5.200;0.000;0.000;17.000
19/11/2010;15:07:00;1.244;0.076;236.070;5.200;0.000;0.000;17.000
19/11/2010;15:08:00;1.420;0.054;236.030;6.200;0.000;0.000;17.000
19/11/2010;15:09:00;2.020;0.446;235.140;9.000;0.000;0.000;17.000
19/11/2010;15:10:00;2.026;0.446;235.780;9.000;0.000;0.000;17.000
19/11/2010;15:11:00;2.020;0.444;235.850;9.000;0.000;0.000;17.000
19/11/2010;15:12:00;2.082;0.444;235.820;9.200;0.000;0.000;17.000
19/11/2010;15:13:00;2.072;0.440;235.490;9.200;0.000;0.000;17.000
19/11/2010;15:14:00;2.180;0.438;235.760;9.600;0.000;0.000;17.000
19/11/2010;15:15:00;2.014;0.442;236.030;9.000;0.000;0.000;17.000
19/11/2010;15:16:00;1.556;0.136;236.130;7.000;0.000;0.000;18.000
19/11/2010;15:17:00;1.238;0.076;236.050;5.200;0.000;0.000;17.000
19/11/2010;15:18:00;1.240;0.078;235.330;5.200;0.000;0.000;17.000
19/11/2010;15:19:00;1.386;0.144;235.450;5.800;0.000;0.000;17.000
19/11/2010;15:20:00;1.636;0.000;235.630;6.800;0.000;0.000;17.000
19/11/2010;15:21:00;1.536;0.000;236.100;6.400;0.000;0.000;17.000
19/11/2010;15:22:00;1.540;0.000;236.780;6.400;0.000;0.000;17.000
19/11/2010;15:23:00;1.538;0.000;236.930;6.400;0.000;0.000;17.000
19/11/2010;15:24:00;1.674;0.000;236.390;7.000;0.000;0.000;17.000
19/11/2010;15:25:00;1.524;0.000;236.290;6.400;0.000;0.000;18.000
19/11/2010;15:26:00;1.568;0.000;236.820;6.600;0.000;0.000;17.000
19/11/2010;15:27:00;1.602;0.060;236.960;6.800;0.000;0.000;17.000
19/11/2010;15:28:00;1.594;0.058;236.060;6.600;0.000;0.000;17.000
19/11/2010;15:29:00;1.606;0.054;236.430;6.800;0.000;0.000;17.000
19/11/2010;15:30:00;1.694;0.000;236.600;7.200;0.000;0.000;17.000
19/11/2010;15:31:00;1.742;0.070;236.850;7.400;0.000;0.000;18.000
19/11/2010;15:32:00;1.768;0.136;236.830;7.400;0.000;1.000;17.000
19/11/2010;15:33:00;1.750;0.110;236.690;7.400;0.000;1.000;17.000
19/11/2010;15:34:00;1.654;0.000;236.430;7.000;0.000;2.000;17.000
19/11/2010;15:35:00;1.608;0.088;237.040;6.800;0.000;1.000;17.000
19/11/2010;15:36:00;1.620;0.088;238.180;6.800;0.000;2.000;18.000
19/11/2010;15:37:00;1.622;0.088;238.040;6.800;0.000;1.000;17.000
19/11/2010;15:38:00;1.622;0.090;238.060;6.800;0.000;1.000;18.000
19/11/2010;15:39:00;1.604;0.092;236.420;6.800;0.000;2.000;17.000
19/11/2010;15:40:00;1.558;0.066;237.220;6.600;0.000;1.000;17.000
19/11/2010;15:41:00;1.704;0.056;237.340;7.200;0.000;1.000;17.000
19/11/2010;15:42:00;1.828;0.058;238.230;7.600;0.000;2.000;18.000
19/11/2010;15:43:00;1.832;0.056;238.480;7.600;0.000;1.000;17.000
19/11/2010;15:44:00;1.770;0.054;239.100;7.400;0.000;1.000;18.000
19/11/2010;15:45:00;1.626;0.050;237.180;6.800;0.000;2.000;17.000
19/11/2010;15:46:00;1.690;0.050;238.360;7.000;0.000;1.000;17.000
19/11/2010;15:47:00;1.646;0.050;237.940;6.800;0.000;2.000;18.000
19/11/2010;15:48:00;1.646;0.048;238.510;6.800;0.000;1.000;17.000
19/11/2010;15:49:00;1.632;0.052;237.170;6.800;0.000;1.000;17.000
19/11/2010;15:50:00;1.628;0.050;237.170;6.800;0.000;2.000;18.000
19/11/2010;15:51:00;1.616;0.052;236.140;6.800;0.000;1.000;17.000
19/11/2010;15:52:00;1.622;0.050;237.380;6.800;0.000;1.000;17.000
19/11/2010;15:53:00;1.614;0.052;236.560;6.800;0.000;1.000;17.000
19/11/2010;15:54:00;1.654;0.000;236.250;7.000;0.000;2.000;17.000
19/11/2010;15:55:00;1.708;0.070;235.610;7.200;0.000;1.000;17.000
19/11/2010;15:56:00;1.712;0.072;236.380;7.200;0.000;1.000;18.000
19/11/2010;15:57:00;1.710;0.072;236.330;7.200;0.000;1.000;17.000
19/11/2010;15:58:00;1.708;0.072;236.330;7.200;0.000;2.000;17.000
19/11/2010;15:59:00;1.700;0.070;235.800;7.200;0.000;1.000;17.000
19/11/2010;16:00:00;1.692;0.070;235.330;7.200;0.000;1.000;17.000
19/11/2010;16:01:00;1.702;0.072;236.360;7.200;0.000;1.000;17.000
19/11/2010;16:02:00;1.704;0.074;236.530;7.200;0.000;1.000;17.000
19/11/2010;16:03:00;1.728;0.072;236.310;7.200;0.000;1.000;17.000
19/11/2010;16:04:00;1.766;0.100;237.290;7.400;0.000;2.000;18.000
19/11/2010;16:05:00;1.788;0.178;237.530;7.400;0.000;1.000;17.000
19/11/2010;16:06:00;1.794;0.180;238.300;7.400;0.000;1.000;17.000
19/11/2010;16:07:00;1.794;0.182;238.450;7.400;0.000;1.000;18.000
19/11/2010;16:08:00;1.754;0.122;238.740;7.400;0.000;1.000;17.000
19/11/2010;16:09:00;1.692;0.050;237.750;7.000;0.000;2.000;18.000
19/11/2010;16:10:00;1.692;0.050;237.780;7.000;0.000;1.000;17.000
19/11/2010;16:11:00;1.650;0.050;238.130;6.800;0.000;1.000;17.000
19/11/2010;16:12:00;1.572;0.050;237.210;6.600;0.000;1.000;18.000
19/11/2010;16:13:00;1.498;0.048;236.560;6.200;0.000;1.000;17.000
19/11/2010;16:14:00;1.498;0.050;236.610;6.200;0.000;1.000;17.000
19/11/2010;16:15:00;1.498;0.050;236.520;6.200;0.000;1.000;17.000
19/11/2010;16:16:00;1.502;0.048;236.970;6.200;0.000;2.000;17.000
19/11/2010;16:17:00;1.512;0.046;238.070;6.200;0.000;1.000;18.000
19/11/2010;16:18:00;1.510;0.046;237.920;6.200;0.000;1.000;17.000
19/11/2010;16:19:00;1.506;0.048;237.520;6.200;0.000;1.000;17.000
19/11/2010;16:20:00;1.618;0.048;237.300;6.800;0.000;1.000;18.000
19/11/2010;16:21:00;1.772;0.052;236.340;7.400;0.000;1.000;17.000
19/11/2010;16:22:00;1.494;0.050;236.210;6.200;0.000;1.000;17.000
19/11/2010;16:23:00;1.496;0.048;236.560;6.200;0.000;2.000;17.000
19/11/2010;16:24:00;1.738;0.052;235.830;7.400;0.000;1.000;17.000
19/11/2010;16:25:00;1.774;0.052;236.290;7.400;0.000;1.000;17.000
19/11/2010;16:26:00;1.782;0.052;237.060;7.400;0.000;1.000;18.000
19/11/2010;16:27:00;1.664;0.048;237.690;7.000;0.000;1.000;17.000
19/11/2010;16:28:00;1.506;0.048;237.450;6.200;0.000;1.000;17.000
19/11/2010;16:29:00;1.570;0.000;237.150;6.600;0.000;1.000;17.000
19/11/2010;16:30:00;1.606;0.078;236.780;6.800;0.000;1.000;18.000
19/11/2010;16:31:00;1.596;0.078;236.270;6.600;0.000;2.000;17.000
19/11/2010;16:32:00;1.594;0.076;236.140;6.600;0.000;1.000;17.000
19/11/2010;16:33:00;1.574;0.000;235.560;6.600;0.000;1.000;17.000
19/11/2010;16:34:00;0.888;0.000;236.890;4.200;0.000;0.000;7.000
19/11/2010;16:35:00;0.566;0.000;235.680;2.400;0.000;0.000;0.000
19/11/2010;16:36:00;0.566;0.000;236.270;2.400;0.000;0.000;0.000
19/11/2010;16:37:00;0.622;0.098;237.030;2.600;0.000;0.000;0.000
19/11/2010;16:38:00;1.680;0.150;236.090;8.400;0.000;0.000;0.000
19/11/2010;16:39:00;2.060;0.136;236.180;9.600;0.000;0.000;0.000
19/11/2010;16:40:00;1.358;0.144;237.990;7.000;0.000;0.000;0.000
19/11/2010;16:41:00;1.506;0.148;239.080;7.600;0.000;0.000;0.000
19/11/2010;16:42:00;1.328;0.208;239.580;7.000;0.000;0.000;0.000
19/11/2010;16:43:00;1.348;0.214;238.470;7.200;0.000;0.000;0.000
19/11/2010;16:44:00;1.496;0.210;239.310;7.400;0.000;0.000;0.000
19/11/2010;16:45:00;1.506;0.210;239.230;7.600;0.000;0.000;0.000
19/11/2010;16:46:00;1.664;0.204;238.330;8.200;0.000;0.000;0.000
19/11/2010;16:47:00;1.540;0.206;238.370;7.800;0.000;0.000;0.000
19/11/2010;16:48:00;1.382;0.208;238.680;7.000;0.000;0.000;0.000
19/11/2010;16:49:00;1.456;0.206;238.520;7.400;0.000;0.000;0.000
19/11/2010;16:50:00;1.622;0.202;237.820;8.000;0.000;0.000;0.000
19/11/2010;16:51:00;1.416;0.122;237.670;7.200;0.000;0.000;0.000
19/11/2010;16:52:00;1.126;0.108;238.740;5.800;0.000;0.000;0.000
19/11/2010;16:53:00;1.018;0.080;239.440;5.200;0.000;0.000;0.000
19/11/2010;16:54:00;0.774;0.058;237.660;3.200;0.000;0.000;0.000
19/11/2010;16:55:00;0.868;0.068;235.510;3.800;0.000;0.000;0.000
19/11/2010;16:56:00;1.016;0.078;235.280;4.200;0.000;0.000;0.000
19/11/2010;16:57:00;1.252;0.082;234.870;5.200;0.000;0.000;0.000
19/11/2010;16:58:00;1.244;0.084;234.080;5.200;0.000;0.000;0.000
19/11/2010;16:59:00;1.244;0.082;234.140;5.200;0.000;0.000;0.000
19/11/2010;17:00:00;1.236;0.084;233.170;5.200;0.000;0.000;0.000
19/11/2010;17:01:00;1.256;0.082;234.020;5.400;0.000;0.000;0.000
19/11/2010;17:02:00;1.276;0.082;233.520;5.400;0.000;0.000;0.000
19/11/2010;17:03:00;1.246;0.084;233.550;5.200;0.000;0.000;0.000
19/11/2010;17:04:00;1.326;0.000;232.740;5.600;0.000;0.000;0.000
19/11/2010;17:05:00;1.340;0.000;232.230;5.600;0.000;0.000;0.000
19/11/2010;17:06:00;1.340;0.000;232.630;5.600;0.000;0.000;0.000
19/11/2010;17:07:00;1.342;0.000;232.920;5.600;0.000;0.000;0.000
19/11/2010;17:08:00;1.348;0.000;233.710;5.600;0.000;0.000;0.000
19/11/2010;17:09:00;1.444;0.000;233.270;6.200;0.000;0.000;0.000
19/11/2010;17:10:00;1.340;0.000;233.030;5.600;0.000;0.000;0.000
19/11/2010;17:11:00;1.332;0.000;232.880;5.600;0.000;0.000;0.000
19/11/2010;17:12:00;1.330;0.000;232.810;5.600;0.000;0.000;0.000
19/11/2010;17:13:00;1.340;0.000;234.170;5.600;0.000;0.000;0.000
19/11/2010;17:14:00;1.336;0.000;233.720;5.600;0.000;0.000;0.000
19/11/2010;17:15:00;1.172;0.000;234.660;5.000;0.000;0.000;0.000
19/11/2010;17:16:00;1.064;0.000;234.330;4.400;0.000;0.000;0.000
19/11/2010;17:17:00;1.058;0.000;234.190;4.400;0.000;0.000;0.000
19/11/2010;17:18:00;0.980;0.080;234.310;4.200;0.000;0.000;0.000
19/11/2010;17:19:00;0.978;0.080;234.190;4.200;0.000;0.000;0.000
19/11/2010;17:20:00;0.976;0.080;233.860;4.200;0.000;0.000;0.000
19/11/2010;17:21:00;0.928;0.000;234.250;4.000;0.000;0.000;0.000
19/11/2010;17:22:00;0.778;0.000;234.440;3.200;0.000;0.000;0.000
19/11/2010;17:23:00;0.690;0.000;235.110;2.800;0.000;0.000;0.000
19/11/2010;17:24:00;0.620;0.000;236.740;2.600;0.000;0.000;0.000
19/11/2010;17:25:00;0.620;0.000;237.200;2.600;0.000;0.000;0.000
19/11/2010;17:26:00;0.616;0.000;236.170;2.600;0.000;0.000;0.000
19/11/2010;17:27:00;0.608;0.000;235.690;2.600;0.000;0.000;0.000
19/11/2010;17:28:00;0.604;0.000;235.560;2.400;0.000;0.000;0.000
19/11/2010;17:29:00;0.578;0.000;234.840;2.400;0.000;0.000;0.000
19/11/2010;17:30:00;0.534;0.072;235.440;2.200;0.000;0.000;0.000
19/11/2010;17:31:00;0.536;0.072;235.980;2.200;0.000;0.000;0.000
19/11/2010;17:32:00;0.534;0.072;235.530;2.200;0.000;0.000;0.000
19/11/2010;17:33:00;0.538;0.072;234.590;2.200;0.000;0.000;0.000
19/11/2010;17:34:00;0.536;0.074;234.260;2.200;0.000;0.000;0.000
19/11/2010;17:35:00;0.538;0.072;235.000;2.200;0.000;0.000;0.000
19/11/2010;17:36:00;0.540;0.072;235.440;2.200;0.000;0.000;0.000
19/11/2010;17:37:00;0.536;0.072;235.240;2.200;0.000;0.000;0.000
19/11/2010;17:38:00;0.556;0.058;235.070;2.400;0.000;0.000;0.000
19/11/2010;17:39:00;0.640;0.050;235.080;2.600;0.000;0.000;0.000
19/11/2010;17:40:00;0.642;0.056;236.450;2.600;0.000;0.000;0.000
19/11/2010;17:41:00;0.640;0.054;235.990;2.600;0.000;0.000;0.000
19/11/2010;17:42:00;0.632;0.050;234.850;2.600;0.000;0.000;0.000
19/11/2010;17:43:00;0.632;0.052;235.110;2.600;0.000;0.000;0.000
19/11/2010;17:44:00;0.628;0.050;234.500;2.600;0.000;0.000;0.000
19/11/2010;17:45:00;0.630;0.054;235.730;2.600;0.000;0.000;0.000
19/11/2010;17:46:00;0.628;0.052;235.360;2.600;0.000;0.000;0.000
19/11/2010;17:47:00;0.626;0.050;234.700;2.600;0.000;0.000;0.000
19/11/2010;17:48:00;0.632;0.052;235.130;2.600;0.000;0.000;0.000
19/11/2010;17:49:00;0.628;0.050;234.380;2.600;0.000;0.000;0.000
19/11/2010;17:50:00;0.630;0.052;235.100;2.600;0.000;0.000;0.000
19/11/2010;17:51:00;0.628;0.050;234.430;2.600;0.000;0.000;0.000
19/11/2010;17:52:00;0.592;0.000;234.300;2.400;0.000;0.000;0.000
19/11/2010;17:53:00;0.532;0.072;234.570;2.200;0.000;0.000;0.000
19/11/2010;17:54:00;0.528;0.074;233.860;2.200;0.000;0.000;0.000
19/11/2010;17:55:00;0.528;0.074;234.100;2.200;0.000;0.000;0.000
19/11/2010;17:56:00;0.528;0.074;234.060;2.200;0.000;0.000;0.000
19/11/2010;17:57:00;0.530;0.074;234.430;2.200;0.000;0.000;0.000
19/11/2010;17:58:00;0.526;0.076;233.320;2.200;0.000;0.000;0.000
19/11/2010;17:59:00;0.526;0.074;233.440;2.200;0.000;0.000;0.000
19/11/2010;18:00:00;0.602;0.000;233.290;2.600;0.000;0.000;0.000
19/11/2010;18:01:00;0.604;0.000;234.430;2.600;0.000;0.000;0.000
19/11/2010;18:02:00;0.608;0.000;235.060;2.600;0.000;0.000;0.000
19/11/2010;18:03:00;0.606;0.000;233.220;2.600;0.000;0.000;0.000
19/11/2010;18:04:00;0.606;0.000;233.420;2.600;0.000;0.000;0.000
19/11/2010;18:05:00;0.606;0.000;233.930;2.600;0.000;0.000;0.000
19/11/2010;18:06:00;0.604;0.000;233.780;2.600;0.000;0.000;0.000
19/11/2010;18:07:00;0.604;0.000;233.780;2.600;0.000;0.000;0.000
19/11/2010;18:08:00;0.556;0.000;234.790;2.400;0.000;0.000;0.000
19/11/2010;18:09:00;0.530;0.074;234.420;2.200;0.000;0.000;0.000
19/11/2010;18:10:00;0.548;0.072;235.610;2.400;0.000;0.000;0.000
19/11/2010;18:11:00;1.236;0.000;233.970;5.400;0.000;0.000;0.000
19/11/2010;18:12:00;0.972;0.080;234.080;4.000;0.000;0.000;0.000
19/11/2010;18:13:00;1.132;0.048;235.250;4.800;0.000;0.000;0.000
19/11/2010;18:14:00;1.196;0.000;234.250;5.000;0.000;0.000;0.000
19/11/2010;18:15:00;1.128;0.000;234.110;4.800;0.000;0.000;0.000
19/11/2010;18:16:00;1.254;0.000;234.740;5.200;0.000;0.000;0.000
19/11/2010;18:17:00;1.170;0.000;236.690;4.800;0.000;0.000;0.000
19/11/2010;18:18:00;1.112;0.000;236.750;4.600;0.000;0.000;0.000
19/11/2010;18:19:00;1.098;0.000;235.030;4.600;0.000;0.000;0.000
19/11/2010;18:20:00;1.096;0.000;234.920;4.600;0.000;0.000;0.000
19/11/2010;18:21:00;1.100;0.000;235.650;4.600;0.000;0.000;0.000
19/11/2010;18:22:00;1.076;0.000;234.760;4.600;0.000;0.000;0.000
19/11/2010;18:23:00;1.074;0.046;235.560;4.400;0.000;0.000;0.000
19/11/2010;18:24:00;1.062;0.000;233.890;4.400;0.000;0.000;0.000
19/11/2010;18:25:00;1.054;0.000;232.640;4.400;0.000;0.000;0.000
19/11/2010;18:26:00;1.056;0.000;233.010;4.400;0.000;0.000;0.000
19/11/2010;18:27:00;1.024;0.000;234.260;4.400;0.000;0.000;0.000
19/11/2010;18:28:00;0.962;0.082;232.830;4.000;0.000;0.000;0.000
19/11/2010;18:29:00;0.970;0.080;234.040;4.000;0.000;0.000;0.000
19/11/2010;18:30:00;0.966;0.082;233.330;4.000;0.000;0.000;0.000
19/11/2010;18:31:00;0.962;0.082;232.570;4.000;0.000;0.000;0.000
19/11/2010;18:32:00;0.968;0.080;233.570;4.000;0.000;0.000;0.000
19/11/2010;18:33:00;0.974;0.080;233.560;4.200;0.000;0.000;0.000
19/11/2010;18:34:00;0.974;0.080;233.400;4.200;0.000;0.000;0.000
19/11/2010;18:35:00;1.018;0.100;233.260;4.400;0.000;0.000;0.000
19/11/2010;18:36:00;1.088;0.124;233.990;4.600;0.000;0.000;0.000
19/11/2010;18:37:00;1.076;0.124;233.250;4.600;0.000;0.000;0.000
19/11/2010;18:38:00;1.126;0.088;233.610;4.800;0.000;0.000;0.000
19/11/2010;18:39:00;1.152;0.000;232.370;5.000;0.000;0.000;0.000
19/11/2010;18:40:00;1.318;0.000;233.820;5.600;0.000;0.000;0.000
19/11/2010;18:41:00;1.160;0.000;234.030;4.800;0.000;0.000;0.000
19/11/2010;18:42:00;1.154;0.000;233.480;4.800;0.000;0.000;0.000
19/11/2010;18:43:00;1.168;0.000;235.640;5.000;0.000;0.000;0.000
19/11/2010;18:44:00;1.154;0.000;233.800;4.800;0.000;0.000;0.000
19/11/2010;18:45:00;1.154;0.000;233.860;4.800;0.000;0.000;0.000
19/11/2010;18:46:00;1.152;0.000;235.160;4.800;0.000;0.000;0.000
19/11/2010;18:47:00;1.086;0.124;234.050;4.600;0.000;0.000;0.000
19/11/2010;18:48:00;1.124;0.084;233.200;4.800;0.000;0.000;0.000
19/11/2010;18:49:00;1.196;0.000;234.700;5.000;0.000;0.000;0.000
19/11/2010;18:50:00;1.194;0.000;234.590;5.000;0.000;0.000;0.000
19/11/2010;18:51:00;1.192;0.000;234.810;5.000;0.000;0.000;0.000
19/11/2010;18:52:00;1.196;0.000;235.620;5.000;0.000;0.000;0.000
19/11/2010;18:53:00;1.190;0.000;235.140;5.000;0.000;0.000;0.000
19/11/2010;18:54:00;1.190;0.000;235.310;5.000;0.000;0.000;0.000
19/11/2010;18:55:00;1.192;0.000;236.100;5.000;0.000;0.000;0.000
19/11/2010;18:56:00;1.186;0.000;235.340;5.000;0.000;0.000;0.000
19/11/2010;18:57:00;1.186;0.000;235.480;5.000;0.000;0.000;0.000
19/11/2010;18:58:00;1.186;0.000;235.520;5.000;0.000;0.000;0.000
19/11/2010;18:59:00;1.180;0.000;234.780;5.000;0.000;0.000;0.000
19/11/2010;19:00:00;1.182;0.000;235.090;5.000;0.000;0.000;0.000
19/11/2010;19:01:00;1.180;0.000;234.970;5.000;0.000;0.000;0.000
19/11/2010;19:02:00;1.132;0.062;234.910;4.800;0.000;0.000;0.000
19/11/2010;19:03:00;1.094;0.122;235.390;4.600;0.000;0.000;0.000
19/11/2010;19:04:00;1.100;0.122;235.870;4.600;0.000;0.000;0.000
19/11/2010;19:05:00;1.096;0.122;235.420;4.600;0.000;0.000;0.000
19/11/2010;19:06:00;1.098;0.120;235.700;4.600;0.000;0.000;0.000
19/11/2010;19:07:00;1.096;0.122;235.490;4.600;0.000;0.000;0.000
19/11/2010;19:08:00;1.102;0.122;235.990;4.600;0.000;0.000;0.000
19/11/2010;19:09:00;1.116;0.120;236.830;4.600;0.000;0.000;0.000
19/11/2010;19:10:00;1.106;0.120;236.150;4.600;0.000;0.000;0.000
19/11/2010;19:11:00;1.098;0.120;234.900;4.600;0.000;0.000;0.000
19/11/2010;19:12:00;1.094;0.122;234.380;4.600;0.000;0.000;0.000
19/11/2010;19:13:00;1.098;0.120;234.990;4.600;0.000;0.000;0.000
19/11/2010;19:14:00;1.102;0.120;235.810;4.600;0.000;0.000;0.000
19/11/2010;19:15:00;1.098;0.122;235.170;4.600;0.000;0.000;0.000
19/11/2010;19:16:00;1.088;0.122;233.190;4.600;0.000;0.000;0.000
19/11/2010;19:17:00;0.792;0.000;235.050;3.600;0.000;0.000;0.000
19/11/2010;19:18:00;0.738;0.000;235.300;3.000;0.000;0.000;0.000
19/11/2010;19:19:00;0.740;0.000;236.060;3.000;0.000;0.000;0.000
